author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Элитный берег;real_estate_agent;https://sochi.cian.ru/sale/flat/295366164/;Зеленоград;sale;flat;3;5;2;68.0;13900000;с. Эстосадок; Горная;4;;
ID 7150714;homeowner;https://spb.cian.ru/sale/flat/308695839/;Зеленоград;sale;flat;2;5;2;46.0;18000000;Петроградский;Каменноостровский проспект;64С;Петроградская;
Недвижимость у моря;real_estate_agent;https://sochi.cian.ru/sale/flat/308250031/;Зеленоград;sale;flat;6;7;2;70.0;18500000;Дагомыс пгт; Ленинградская;26А/1;;
Лимон Недвижимость;real_estate_agent;https://spb.cian.ru/sale/flat/308003155/;Зеленоград;sale;flat;4;11;1;52.4;19900000;Фрунзенский;Лиговский проспект;232;Обводный канал;Ligovsky city-Второй квартал
ID 13763056;realtor;https://spb.cian.ru/sale/flat/302630904/;Зеленоград;sale;flat;7;9;3;101.0;54900000;Василеостровский;проспект Средний Васильевского острова;85;Василеостровская;
NF GROUP  St Petersburg;real_estate_agent;https://spb.cian.ru/sale/flat/307553091/;Зеленоград;sale;flat;2;8;4;150.6;77890000;Центральный;Захарьевская ;33;Чернышевская;
Светлана Ханина;realtor;https://krasnodar.cian.ru/sale/flat/308785014/;Зеленоград;sale;flat;2;16;1;37.0;3950000;мкр. Восточно-Кругликовский; Генерала Трошева;39;;
ИМПЕРИЯ;real_estate_agent;https://spb.cian.ru/sale/flat/299919688/;Зеленоград;sale;flat;1;5;2;53.4;6300000;пос. Бугры;Шоссейная ;32;;
ID 313435;homeowner;https://shchyolkovo.cian.ru/sale/flat/301881672/;Зеленоград;sale;flat;15;17;2;65.3;7700000;;;1к2;Щёлковская;Потапово
БАРС Лизинг;real_estate_agent;https://balashikha.cian.ru/sale/flat/306497146/;Зеленоград;sale;flat;23;24;2;69.8;10550000;; Разина;1А;Салтыковская;28 микрорайон
Новые Ватутинки;real_estate_agent;https://www.cian.ru/sale/flat/307586146/;Зеленоград;sale;flat;11;14;2;53.5;11100000;;;;;Новые Ватутинки, мкр. Заречный
